pid,n_neurons,sig_neurons,perc_sig
fd6d686b-eae1-44cb-adbb-159c69c85827,83,20,24.1
379105fd-dbb1-40d9-8a51-ae5a8ef8df04,54,12,22.2
c44adf4f-3d1c-491f-88e4-c516cc910bd8,47,3,6.4
e9cf749b-85dc-4b59-834b-325cec608c48,9,2,22.2
b976e816-bc24-42e3-adf4-2801f1a52657,139,9,6.5
bb7a5967-56ae-4193-920d-142710b4f07d,63,22,34.9
05ccc92c-fcb0-4e92-84d3-de033890c7a8,59,3,5.1
3530526e-e690-4222-878f-0f9f401fa759,55,17,30.9
46630957-63fd-4d0d-a2ba-8766f0796db8,140,22,15.7
dc7e9403-19f7-409f-9240-05ee57cb7aea,10,4,40.0
c536b0a9-b710-43c3-ba2c-5a0cccf98ec2,69,2,2.9
