pid,n_neurons,sig_neurons,perc_sig
a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,75,5,6.7
7a620688-66cb-44d3-b79b-ccac1c8ba23e,100,14,14.0
49c2ea3d-2b50-4e8a-b124-9e190960784e,244,46,18.9
b72b22c2-6e9d-4604-9910-20c0e1a467d7,91,17,18.7
c5b9e063-f640-4936-b851-f7602cb6659b,84,5,6.0
18d316bf-d322-4c5c-814e-a58147f7bf5f,209,36,17.2
00c425fd-ec3e-4cd2-b8af-c0bc0c4bdd44,1,0,0.0
d004f105-9886-4b83-a59a-f9173131a383,88,46,52.3
cc701ed3-84b6-4b8e-8390-2e3f54414b19,55,33,60.0
6bd246d2-b2c2-4a88-ac44-1a3e0facbaee,31,6,19.4
3fded122-619c-4e65-aadd-d5420978d167,69,10,14.5
07c79864-6fff-4e72-9fce-1c982e3457f9,53,23,43.4
be9a2119-a4d7-4e62-82a1-b1a6623ecc99,142,12,8.5
ad714133-1e03-4d3a-8427-33fc483daf1a,81,7,8.6
f84f36c9-88f8-4d80-ba34-7f7a2b254ece,64,7,10.9
e9cf749b-85dc-4b59-834b-325cec608c48,160,21,13.1
0aafb6f1-6c10-4886-8f03-543988e02d9e,71,5,7.0
b976e816-bc24-42e3-adf4-2801f1a52657,90,6,6.7
485b50c8-71e1-4654-9a07-64395c15f5ed,108,37,34.3
6d9b6393-6729-4a15-ad08-c6838842a074,93,9,9.7
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,83,31,37.3
e5bc1f00-f4b8-4b35-a9b6-60d9cc7959a1,378,42,11.1
6292dc98-e2f1-45de-b045-56d98fdaca75,307,26,8.5
9e44ddb5-7c7c-48f1-954a-6cec2ad26088,23,1,4.3
