max_time_bin,begin_sig_period,end_sig_period
0.135,0.095,0.155
0.315,0.275,0.315
0.405,0.375,0.41500000000000004
0.195,0.08499999999999999,0.33499999999999996
0.375,0.345,0.41500000000000004
0.14500000000000002,0.10500000000000001,0.195
0.375,0.235,0.41500000000000004
0.20500000000000002,0.185,0.245
0.32499999999999996,0.30500000000000005,0.355
0.375,0.315,0.405
0.30500000000000005,0.275,0.315
0.07500000000000001,0.055,0.095
0.065,0.034999999999999996,0.08499999999999999
0.32499999999999996,0.195,0.355
0.095,0.065,0.115
0.20500000000000002,0.125,0.245
0.215,0.135,0.28500000000000003
0.175,0.135,0.30500000000000005
0.255,0.165,0.265
0.195,0.195,0.245
0.265,0.135,0.385
0.225,0.225,0.265
0.32499999999999996,0.315,0.355
0.165,0.14500000000000002,0.185
0.095,0.055,0.10500000000000001
0.32499999999999996,0.315,0.355
0.20500000000000002,0.165,0.405
0.235,0.225,0.265
0.195,0.10500000000000001,0.275
0.30500000000000005,0.045000000000000005,0.345
0.115,0.07500000000000001,0.265
0.41500000000000004,0.375,0.41500000000000004
0.034999999999999996,0.034999999999999996,0.07500000000000001
0.365,0.345,0.385
0.255,0.255,0.29500000000000004
0.175,0.10500000000000001,0.395
0.20500000000000002,0.165,0.215
0.385,0.375,0.41500000000000004
0.08499999999999999,0.065,0.10500000000000001
0.095,0.095,0.135
0.315,0.28500000000000003,0.345
0.405,0.375,0.41500000000000004
0.185,0.14500000000000002,0.195
0.395,0.375,0.41500000000000004
0.125,0.095,0.135
0.29500000000000004,0.275,0.315
0.395,0.345,0.41500000000000004
0.375,0.33499999999999996,0.41500000000000004
0.33499999999999996,0.275,0.41500000000000004
0.175,0.14500000000000002,0.395
0.275,0.255,0.30500000000000005
0.165,0.125,0.195
0.195,0.165,0.235
0.245,0.07500000000000001,0.41500000000000004
0.275,0.265,0.355
0.30500000000000005,0.28500000000000003,0.345
0.215,0.175,0.255
0.30500000000000005,0.125,0.30500000000000005
0.215,0.20500000000000002,0.245
0.315,0.30500000000000005,0.345
0.28500000000000003,0.175,0.41500000000000004
0.255,0.135,0.355
0.195,0.175,0.215
0.175,0.14500000000000002,0.185
0.225,0.20500000000000002,0.245
0.265,0.225,0.28500000000000003
0.195,0.155,0.265
0.225,0.20500000000000002,0.265
0.065,0.065,0.10500000000000001
0.215,0.20500000000000002,0.245
0.10500000000000001,0.07500000000000001,0.115
0.395,0.33499999999999996,0.41500000000000004
0.245,0.225,0.395
0.195,0.165,0.355
0.30500000000000005,0.28500000000000003,0.345
0.125,0.095,0.14500000000000002
0.265,0.175,0.395
0.28500000000000003,0.265,0.30500000000000005
0.185,0.175,0.215
0.395,0.165,0.41500000000000004
0.29500000000000004,0.255,0.33499999999999996
0.275,0.245,0.41500000000000004
0.32499999999999996,0.20500000000000002,0.41500000000000004
0.345,0.225,0.385
0.175,0.155,0.315
0.095,0.045000000000000005,0.115
0.315,0.165,0.41500000000000004
0.33499999999999996,0.30500000000000005,0.355
0.395,0.315,0.41500000000000004
0.175,0.175,0.215
0.345,0.33499999999999996,0.375
0.135,0.115,0.165
0.225,0.195,0.28500000000000003
0.385,0.275,0.41500000000000004
0.165,0.14500000000000002,0.185
0.235,0.225,0.265
0.215,0.155,0.245
0.235,0.20500000000000002,0.245
0.185,0.165,0.20500000000000002
0.165,0.125,0.195
0.125,0.095,0.14500000000000002
0.185,0.165,0.215
0.14500000000000002,0.115,0.155
0.345,0.33499999999999996,0.375
0.195,0.115,0.28500000000000003
0.175,0.155,0.195
0.41500000000000004,0.365,0.41500000000000004
0.385,0.345,0.385
0.215,0.195,0.245
0.41500000000000004,0.375,0.41500000000000004
0.395,0.33499999999999996,0.41500000000000004
0.265,0.235,0.275
0.185,0.10500000000000001,0.365
0.33499999999999996,0.29500000000000004,0.365
0.215,0.195,0.235
0.355,0.32499999999999996,0.375
